Name,Team,G,PA,AB,H,2B,3B,HR,BB,K,HBP,SF,AVG,OBP,SLG,OPS,ISO,BABIP,BB%,K%,wOBA,wRC+,WAR
Drew Waters,KC,128,465,415,95,18,6,13,41,153,6,3,0.229,0.305,0.395,0.701,0.166,0.325,0.0882,0.329,0.311,79.4,0.3
Tucker Barnhart,CIN,594,1984,1754,398,76,3,35,198,466,15,9,0.227,0.309,0.334,0.643,0.107,0.288,0.0998,0.2349,0.311,79.4,1.4
Brian Serven,COL,110,339,305,59,11,2,7,23,86,7,1,0.193,0.265,0.311,0.576,0.118,0.244,0.0678,0.2537,0.311,79.4,0.2
James Mccann,CWS,585,2153,1978,466,87,2,60,130,568,26,15,0.236,0.289,0.373,0.662,0.137,0.297,0.0604,0.2638,0.311,79.4,1.5
Jacob Young,WSH,181,646,579,148,31,2,3,40,124,13,2,0.256,0.317,0.332,0.649,0.076,0.319,0.0619,0.192,0.311,79.4,0.5
Ian Kinsler,LAA,225,848,776,181,40,0,25,61,132,7,4,0.233,0.294,0.381,0.675,0.148,0.25,0.0719,0.1557,0.311,79.4,0.6
Alen Hanson,SF,126,370,348,83,17,6,9,13,93,2,4,0.239,0.267,0.399,0.666,0.161,0.296,0.0351,0.2514,0.311,79.4,0.3
Luis Matos,SF,127,423,390,91,18,1,7,27,61,3,1,0.233,0.287,0.338,0.626,0.105,0.26,0.0638,0.1442,0.311,79.4,0.3
Sheldon Neuse,ATH,155,469,438,96,10,2,11,27,141,2,2,0.219,0.267,0.326,0.593,0.107,0.295,0.0576,0.3006,0.31,78.7,0.3
Jason Martin,TEX,90,241,217,43,6,0,6,20,68,0,1,0.198,0.265,0.309,0.573,0.111,0.257,0.083,0.2822,0.31,78.7,0.2
Myles Straw,CLE,557,2071,1850,458,84,9,8,191,363,5,14,0.248,0.317,0.316,0.633,0.068,0.301,0.0922,0.1753,0.31,78.7,1.3
Adeiny Hechavarría,TB,199,616,567,138,27,1,15,35,121,3,9,0.243,0.287,0.374,0.661,0.131,0.28,0.0568,0.1964,0.31,78.7,0.4
Chance Sisco,BAL,195,619,525,102,23,0,14,65,197,29,0,0.194,0.317,0.318,0.635,0.124,0.28,0.105,0.3183,0.31,78.7,0.4
Miguel Amaya,CHC,163,525,464,105,18,2,14,34,104,16,5,0.226,0.299,0.364,0.663,0.138,0.259,0.0648,0.1981,0.31,78.7,0.3
Christian Vázquez,BOS,726,2668,2474,614,116,2,65,156,508,11,15,0.248,0.294,0.376,0.67,0.127,0.287,0.0585,0.1904,0.31,78.7,1.7
Jarred Kelenic,SEA,401,1497,1351,284,62,6,51,130,454,7,8,0.21,0.281,0.378,0.66,0.168,0.273,0.0868,0.3033,0.31,78.7,0.9
Michael Taylor,KC,697,2340,2129,492,84,10,62,167,683,15,14,0.231,0.29,0.367,0.657,0.136,0.308,0.0714,0.2919,0.31,78.7,1.5
Abraham Toro,SEA,381,1351,1228,276,50,5,34,89,237,25,7,0.225,0.289,0.357,0.646,0.132,0.251,0.0659,0.1754,0.31,78.7,0.8
Daniel Schneemann,CLE,77,228,199,43,10,2,5,26,70,0,3,0.216,0.303,0.362,0.664,0.146,0.299,0.114,0.307,0.309,78.0,0.1
Jonah Heim,TEX,494,1831,1683,392,75,2,58,129,339,8,10,0.233,0.289,0.383,0.672,0.15,0.258,0.0705,0.1851,0.309,78.0,1.0
Jon Jay,AZ,219,853,770,198,28,7,4,44,143,22,7,0.257,0.313,0.327,0.64,0.07,0.308,0.0516,0.1676,0.309,78.0,0.5
Matt Wieters,WSH,164,508,450,100,13,0,19,46,107,6,4,0.222,0.3,0.378,0.678,0.156,0.247,0.0906,0.2106,0.309,78.0,0.3
José Caballero,TB,223,767,673,151,32,2,14,56,203,27,8,0.224,0.306,0.34,0.647,0.116,0.295,0.073,0.2647,0.309,78.0,0.4
René Rivera,LAA,65,198,181,41,7,0,7,11,74,3,0,0.227,0.282,0.381,0.663,0.155,0.34,0.0556,0.3737,0.309,78.0,0.1
Alek Thomas,AZ,271,964,893,203,40,7,22,51,194,9,8,0.227,0.274,0.362,0.635,0.134,0.264,0.0529,0.2012,0.309,78.0,0.5
Garrett Stubbs,PHI,187,554,493,107,17,3,9,47,132,7,2,0.217,0.293,0.318,0.612,0.101,0.277,0.0848,0.2383,0.309,78.0,0.3
Philip Gosselin,LAA,241,673,624,152,23,1,14,44,161,4,1,0.244,0.297,0.351,0.648,0.107,0.307,0.0654,0.2392,0.309,78.0,0.4
René Pinto,TB,90,266,253,54,8,0,11,9,100,2,1,0.213,0.245,0.375,0.621,0.162,0.301,0.0338,0.3759,0.309,78.0,0.1
Derek Fisher,HOU,107,310,274,51,9,5,13,33,112,0,3,0.186,0.271,0.398,0.669,0.212,0.25,0.1065,0.3613,0.308,77.4,0.1
Sean Rodríguez,PIT,140,341,288,52,10,1,9,43,112,5,1,0.181,0.297,0.316,0.613,0.135,0.256,0.1261,0.3284,0.308,77.4,0.2
Nick Hundley,SF,125,386,358,83,16,3,12,25,105,2,1,0.232,0.285,0.394,0.679,0.162,0.293,0.0648,0.272,0.308,77.4,0.2
Vaughn Grissom,ATL,101,362,333,87,13,1,5,20,79,6,3,0.261,0.312,0.351,0.664,0.09,0.325,0.0552,0.2182,0.308,77.4,0.2
Austin Barnes,LAD,472,1448,1256,267,44,1,28,154,334,23,6,0.213,0.309,0.316,0.625,0.104,0.266,0.1064,0.2307,0.308,77.4,0.7
Nicky Lopez,KC,654,2388,2142,530,85,18,7,181,346,21,5,0.247,0.312,0.314,0.625,0.066,0.292,0.0758,0.1449,0.308,77.4,1.1
Josh Vanmeter,AZ,315,895,794,161,39,5,20,90,228,5,6,0.203,0.286,0.34,0.626,0.137,0.255,0.1006,0.2547,0.308,77.4,0.4
Oswaldo Cabrera,NYY,244,851,774,181,33,1,21,62,187,3,6,0.234,0.291,0.36,0.652,0.127,0.28,0.0729,0.2197,0.308,77.4,0.4
Bradley Zimmer,CLE,226,697,606,118,20,2,13,53,255,31,6,0.195,0.29,0.299,0.589,0.104,0.305,0.076,0.3659,0.308,77.4,0.3
Josh Phegley,ATH,149,465,426,95,25,0,15,22,95,8,7,0.223,0.27,0.387,0.657,0.164,0.248,0.0473,0.2043,0.308,77.4,0.2
Estevan Florial,NYY,88,270,236,44,11,2,4,28,90,4,1,0.186,0.283,0.301,0.583,0.114,0.28,0.1037,0.3333,0.308,77.4,0.1
Jose Trevino,NYY,391,1325,1237,293,56,1,32,64,237,7,11,0.237,0.276,0.361,0.637,0.124,0.267,0.0483,0.1789,0.308,77.4,0.6
Cheslor Cuthbert,KC,124,458,422,101,17,0,13,31,91,4,1,0.239,0.297,0.372,0.669,0.133,0.276,0.0677,0.1987,0.307,76.7,0.2
Pete Crow-Armstrong,CHC,130,441,396,91,13,6,10,25,109,7,3,0.23,0.285,0.369,0.654,0.139,0.289,0.0567,0.2472,0.307,76.7,0.2
Andruw Monasterio,MIL,149,471,420,100,19,1,4,44,109,4,3,0.238,0.314,0.317,0.631,0.079,0.31,0.0934,0.2314,0.307,76.7,0.2
Ji Hwan Bae,PIT,149,515,467,109,22,2,2,38,125,4,3,0.233,0.295,0.302,0.597,0.069,0.312,0.0738,0.2427,0.307,76.7,0.2
Jo Adell,LAA,314,1112,1026,217,41,6,41,67,356,13,5,0.212,0.267,0.383,0.65,0.172,0.278,0.0603,0.3201,0.307,76.7,0.4
Alcides Escobar,KC,259,1041,956,235,47,7,9,53,166,16,6,0.246,0.295,0.338,0.633,0.092,0.287,0.0509,0.1595,0.307,76.7,0.4
Ryan Kreidler,DET,80,204,179,32,2,0,3,19,59,2,2,0.179,0.262,0.24,0.503,0.061,0.244,0.0931,0.2892,0.307,76.7,0.1
Max Stassi,LAA,359,1239,1100,229,41,2,39,113,371,18,7,0.208,0.291,0.355,0.646,0.147,0.273,0.0912,0.2994,0.307,76.7,0.5
Abraham Almonte,ATL,160,443,385,77,20,3,10,54,107,1,2,0.2,0.299,0.345,0.644,0.145,0.248,0.1219,0.2415,0.307,76.7,0.2
Leody Taveras,TEX,477,1786,1636,393,76,11,39,127,428,4,11,0.24,0.295,0.372,0.666,0.131,0.3,0.0711,0.2396,0.306,76.0,0.5
Gabriel Arias,CLE,173,577,528,118,27,2,14,42,184,3,3,0.223,0.283,0.362,0.645,0.138,0.312,0.0728,0.3189,0.306,76.0,0.2
Zach Mckinstry,DET,390,1246,1127,247,53,12,25,97,297,10,7,0.219,0.285,0.354,0.639,0.135,0.273,0.0778,0.2384,0.306,76.0,0.4
Pedro Pagés,STL,71,231,213,49,3,2,7,15,63,0,2,0.23,0.278,0.362,0.64,0.131,0.29,0.0649,0.2727,0.306,76.0,0.1
Curtis Mead,TB,69,238,220,55,7,1,2,13,56,4,1,0.25,0.303,0.318,0.621,0.068,0.325,0.0546,0.2353,0.306,76.0,0.1
Blake Perkins,MIL,176,609,533,124,20,2,10,65,155,3,6,0.233,0.316,0.334,0.65,0.101,0.305,0.1067,0.2545,0.306,76.0,0.2
Mike Zunino,TB,439,1516,1381,259,56,3,81,108,572,23,4,0.188,0.257,0.408,0.666,0.221,0.243,0.0712,0.3773,0.305,75.4,0.3
José Siri,TB,346,1225,1126,237,43,6,55,75,439,13,8,0.21,0.266,0.406,0.672,0.195,0.284,0.0612,0.3584,0.305,75.4,0.3
Justin Williams,STL,65,164,142,24,2,0,4,21,52,1,0,0.169,0.28,0.268,0.548,0.099,0.233,0.128,0.3171,0.305,75.4,0.0
Eduardo Núñez,BOS,195,707,676,173,31,3,12,22,98,2,5,0.256,0.279,0.364,0.643,0.108,0.282,0.0311,0.1386,0.305,75.4,0.1
David Hensley,HOU,80,213,187,35,5,1,3,25,65,1,0,0.187,0.286,0.273,0.559,0.086,0.269,0.1174,0.3052,0.305,75.4,0.0
Joey Wiemer,MIL,146,461,414,83,20,0,13,40,131,5,2,0.2,0.278,0.343,0.621,0.143,0.257,0.0868,0.2842,0.305,75.4,0.1
Jake Meyers,HOU,338,1197,1086,248,50,6,29,77,315,22,7,0.228,0.291,0.366,0.657,0.137,0.292,0.0643,0.2632,0.304,74.7,0.1
Juan Lagares,LAA,256,765,711,166,35,5,14,40,181,5,3,0.233,0.278,0.356,0.634,0.122,0.293,0.0523,0.2366,0.304,74.7,0.1
Anthony Volpe,NYY,322,1301,1191,270,51,12,33,93,326,9,5,0.227,0.287,0.373,0.659,0.146,0.283,0.0715,0.2506,0.304,74.7,0.2
Richie Martin,BAL,163,491,450,97,14,5,8,26,131,7,2,0.216,0.268,0.322,0.59,0.107,0.284,0.053,0.2668,0.304,74.7,0.1
Gorkys Hernández,SF,158,518,472,106,17,4,16,32,130,5,5,0.225,0.278,0.379,0.657,0.155,0.272,0.0618,0.251,0.304,74.7,0.1
Tyler Freeman,CLE,195,641,565,127,23,1,11,40,94,26,5,0.225,0.303,0.327,0.631,0.103,0.249,0.0624,0.1466,0.304,74.7,0.1
Mason Williams,CIN,80,221,204,53,7,2,3,14,53,0,1,0.26,0.306,0.358,0.664,0.098,0.336,0.0633,0.2398,0.304,74.7,0.0
Kody Clemens,PHI,154,430,403,85,25,1,14,23,107,2,2,0.211,0.256,0.382,0.638,0.171,0.25,0.0535,0.2488,0.303,74.0,0.0
Buddy Kennedy,AZ,57,157,136,28,5,2,3,16,38,2,3,0.206,0.293,0.338,0.631,0.132,0.255,0.1019,0.242,0.303,74.0,0.0
Jahmai Jones,BAL,60,154,142,29,7,1,1,8,55,3,0,0.204,0.261,0.289,0.55,0.085,0.326,0.0519,0.3571,0.303,74.0,0.0
Víctor Martínez,DET,133,508,467,117,21,0,9,32,49,2,7,0.251,0.297,0.353,0.651,0.103,0.26,0.063,0.0965,0.302,73.4,-0.0
Carlos Gómez,TB,143,513,452,94,18,2,12,32,134,24,1,0.208,0.295,0.336,0.631,0.128,0.267,0.0624,0.2612,0.302,73.4,-0.0
Chris Owings,AZ,256,763,688,132,32,4,16,66,235,5,3,0.192,0.266,0.32,0.586,0.128,0.264,0.0865,0.308,0.302,73.4,-0.0
Brayan Rocchio,CLE,159,531,469,103,21,1,8,46,116,8,6,0.22,0.297,0.32,0.617,0.1,0.271,0.0866,0.2185,0.302,73.4,-0.0
Shed Long,SEA,110,417,380,82,21,2,12,36,116,0,0,0.216,0.284,0.376,0.66,0.161,0.278,0.0863,0.2782,0.301,72.7,-0.1
Chase Utley,LAD,83,187,164,35,10,1,1,17,34,5,1,0.213,0.305,0.305,0.61,0.091,0.262,0.0909,0.1818,0.301,72.7,-0.0
Jonathan Lucroy,ATH,236,821,742,180,34,2,12,60,123,8,9,0.243,0.303,0.342,0.645,0.1,0.273,0.0731,0.1498,0.301,72.7,-0.1
Devon Travis,TOR,100,378,357,83,14,3,11,16,64,5,0,0.232,0.275,0.381,0.656,0.148,0.255,0.0423,0.1693,0.301,72.7,-0.1
Logan Forsythe,TEX,229,830,732,164,34,1,11,89,197,6,3,0.224,0.312,0.318,0.63,0.094,0.29,0.1072,0.2373,0.301,72.7,-0.1
Brice Turang,MIL,300,1098,990,233,33,7,13,91,212,3,5,0.235,0.3,0.322,0.622,0.087,0.286,0.0829,0.1931,0.301,72.7,-0.1
Jake Rogers,DET,275,968,876,178,36,4,40,74,315,8,4,0.203,0.27,0.39,0.661,0.187,0.263,0.0764,0.3254,0.301,72.7,-0.1
Brandon Dixon,DET,216,672,627,142,32,4,22,30,225,8,7,0.226,0.268,0.396,0.663,0.169,0.31,0.0446,0.3348,0.301,72.7,-0.1
Cole Tucker,PIT,191,590,542,116,24,8,6,40,161,2,4,0.214,0.269,0.321,0.59,0.107,0.29,0.0678,0.2729,0.301,72.7,-0.1
Dj Peters,TEX,76,255,237,47,10,1,13,13,89,2,3,0.198,0.243,0.414,0.657,0.215,0.246,0.051,0.349,0.3,72.0,-0.1
Angel Martínez,CLE,45,174,155,36,7,0,3,16,33,0,2,0.232,0.301,0.335,0.636,0.103,0.273,0.092,0.1897,0.3,72.0,-0.0
Gilberto Celestino,MIN,140,416,374,84,15,1,4,38,92,2,0,0.225,0.3,0.302,0.602,0.078,0.288,0.0913,0.2212,0.3,72.0,-0.1
Austin Romine,NYY,263,859,805,190,34,0,24,42,235,3,5,0.236,0.275,0.368,0.643,0.132,0.301,0.0489,0.2736,0.3,72.0,-0.2
Maikel García,KC,292,1170,1066,269,49,9,9,82,220,2,15,0.252,0.303,0.341,0.644,0.088,0.305,0.0701,0.188,0.299,71.4,-0.4
Adrián González,NYM,53,187,169,40,5,0,6,15,34,1,2,0.237,0.299,0.373,0.672,0.136,0.26,0.0802,0.1818,0.299,71.4,-0.1
Humberto Arteaga,KC,45,151,136,29,4,0,0,9,30,2,1,0.213,0.27,0.243,0.513,0.029,0.271,0.0596,0.1987,0.299,71.4,-0.0
Shogo Akiyama,CIN,139,389,342,75,14,1,0,39,81,6,1,0.219,0.309,0.266,0.575,0.047,0.286,0.1003,0.2082,0.299,71.4,-0.1
Jorge Bonifacio,KC,109,399,355,80,22,2,6,36,112,4,3,0.225,0.302,0.349,0.651,0.124,0.308,0.0902,0.2807,0.299,71.4,-0.1
Joe Panik,SF,389,1314,1184,283,52,3,13,107,140,10,9,0.239,0.305,0.321,0.626,0.082,0.26,0.0814,0.1065,0.299,71.4,-0.4
Tyler Heineman,PIT,111,321,281,62,12,1,1,23,43,10,0,0.221,0.303,0.281,0.584,0.06,0.257,0.0717,0.134,0.299,71.4,-0.1
Jonathan Davis,TOR,167,497,428,83,10,1,6,46,138,14,5,0.194,0.29,0.264,0.554,0.07,0.266,0.0926,0.2777,0.299,71.4,-0.2
Kyle Stowers,BAL,120,374,344,71,16,3,7,23,127,6,1,0.206,0.267,0.331,0.599,0.125,0.303,0.0615,0.3396,0.299,71.4,-0.1
Jb Shuck,MIA,99,208,185,38,4,2,0,19,32,2,0,0.205,0.286,0.249,0.535,0.043,0.248,0.0913,0.1538,0.299,71.4,-0.1
Yangervis Solarte,TOR,154,599,555,124,26,0,19,36,89,3,3,0.223,0.273,0.373,0.646,0.15,0.233,0.0601,0.1486,0.299,71.4,-0.2
Patrick Bailey,SF,221,805,734,170,36,2,16,58,202,3,8,0.232,0.288,0.351,0.639,0.12,0.294,0.072,0.2509,0.298,70.7,-0.3
José Pirela,SD,164,505,467,114,24,2,7,33,98,3,2,0.244,0.297,0.349,0.646,0.105,0.294,0.0653,0.1941,0.298,70.7,-0.2
Keon Broxton,BAL,128,342,304,54,9,2,11,32,142,3,2,0.178,0.261,0.329,0.59,0.151,0.281,0.0936,0.4152,0.298,70.7,-0.1
Meibrys Viloria,KC,106,303,264,53,13,0,3,31,99,1,5,0.201,0.282,0.284,0.566,0.083,0.299,0.1023,0.3267,0.298,70.7,-0.1
Jefry Marte,LAA,78,209,194,42,7,1,7,13,41,2,0,0.216,0.273,0.371,0.644,0.155,0.24,0.0622,0.1962,0.297,70.0,-0.1
Cam Gallagher,KC,219,644,587,125,35,0,9,38,144,5,5,0.213,0.265,0.319,0.583,0.106,0.264,0.059,0.2236,0.297,70.0,-0.3
Tucupita Marcano,PIT,155,476,431,94,21,4,5,28,93,5,4,0.218,0.271,0.32,0.592,0.102,0.264,0.0588,0.1954,0.297,70.0,-0.2
Corey Julks,HOU,157,532,489,114,22,0,10,39,131,1,3,0.233,0.289,0.339,0.629,0.106,0.296,0.0733,0.2462,0.297,70.0,-0.3
Jack Mayfield,LAA,170,522,484,97,24,1,14,27,124,5,2,0.2,0.249,0.341,0.59,0.14,0.239,0.0517,0.2375,0.297,70.0,-0.2
Tyler Saladino,MIL,83,221,200,42,5,0,8,15,69,2,2,0.21,0.269,0.355,0.624,0.145,0.272,0.0679,0.3122,0.297,70.0,-0.1
Eli White,TEX,159,492,445,88,12,3,12,36,160,8,3,0.198,0.268,0.319,0.587,0.121,0.275,0.0732,0.3252,0.297,70.0,-0.2
Miguel Vargas,LAD,187,631,544,96,24,4,14,69,144,8,9,0.176,0.275,0.312,0.587,0.136,0.208,0.1094,0.2282,0.297,70.0,-0.3
Sergio Alcántara,CHC,175,521,464,96,15,5,12,45,139,3,6,0.207,0.278,0.338,0.616,0.131,0.263,0.0864,0.2668,0.296,69.4,-0.3
Jonny Deluca,TB,123,413,379,83,13,4,8,28,88,4,0,0.219,0.28,0.338,0.618,0.119,0.265,0.0678,0.2131,0.296,69.4,-0.2
Max Schuemann,ATH,132,462,399,88,14,0,7,47,120,7,4,0.221,0.311,0.308,0.619,0.088,0.293,0.1017,0.2597,0.295,68.7,-0.3
Luke Maile,TOR,316,985,874,186,44,2,15,86,270,15,6,0.213,0.293,0.319,0.612,0.106,0.287,0.0873,0.2741,0.295,68.7,-0.6
Dixon Machado,DET,80,274,251,53,13,2,1,17,51,4,1,0.211,0.271,0.291,0.562,0.08,0.26,0.062,0.1861,0.295,68.7,-0.2
Jordan Diaz,ATH,104,348,325,75,12,0,10,19,76,3,1,0.231,0.279,0.36,0.639,0.129,0.271,0.0546,0.2184,0.294,68.0,-0.3
Brett Phillips,TB,304,920,807,141,23,10,27,93,358,6,6,0.175,0.263,0.328,0.592,0.154,0.266,0.1011,0.3891,0.294,68.0,-0.7
Brett Wisely,SF,138,432,395,86,19,1,7,27,116,3,4,0.218,0.27,0.324,0.594,0.106,0.286,0.0625,0.2685,0.294,68.0,-0.3
Tyler Soderstrom,ATH,110,360,323,65,12,0,12,31,97,4,2,0.201,0.278,0.35,0.628,0.149,0.245,0.0861,0.2694,0.294,68.0,-0.3
Nick Delmonico,CWS,126,427,384,78,13,5,9,35,113,7,1,0.203,0.281,0.333,0.614,0.13,0.262,0.082,0.2646,0.293,67.4,-0.3
José Tena,WSH,65,212,202,51,7,0,3,10,55,0,0,0.252,0.288,0.332,0.619,0.079,0.333,0.0472,0.2594,0.293,67.4,-0.2
Bryan Holaday,MIA,136,374,338,76,14,0,5,25,77,6,3,0.225,0.288,0.311,0.598,0.086,0.274,0.0668,0.2059,0.293,67.4,-0.3
Justyn-Henry Malloy,DET,69,230,202,41,7,1,8,23,85,3,2,0.203,0.291,0.366,0.658,0.163,0.297,0.1,0.3696,0.292,66.7,-0.2
Austin Wynns,BAL,230,691,636,144,24,0,14,36,155,7,3,0.226,0.274,0.33,0.604,0.104,0.277,0.0521,0.2243,0.292,66.7,-0.6
Dawel Lugo,DET,108,402,379,89,15,5,7,16,80,3,4,0.235,0.269,0.356,0.625,0.121,0.277,0.0398,0.199,0.292,66.7,-0.4
Ronny Rodríguez,DET,146,507,474,104,19,3,19,23,127,0,7,0.219,0.252,0.392,0.644,0.173,0.254,0.0454,0.2505,0.292,66.7,-0.5
Daz Cameron,DET,144,462,421,84,16,3,12,35,139,4,2,0.2,0.266,0.337,0.604,0.138,0.265,0.0758,0.3009,0.292,66.7,-0.4
Cal Mitchell,PIT,77,245,224,49,11,0,5,19,59,0,1,0.219,0.279,0.335,0.614,0.116,0.273,0.0776,0.2408,0.291,66.0,-0.2
Mac Williamson,SF,72,266,238,43,5,0,8,25,77,3,0,0.181,0.267,0.303,0.569,0.122,0.229,0.094,0.2895,0.291,66.0,-0.3
Logan Morrison,MIN,131,425,378,69,15,0,18,40,98,6,1,0.183,0.271,0.365,0.636,0.183,0.194,0.0941,0.2306,0.291,66.0,-0.4
Austin Jackson,SF,115,375,347,85,17,1,3,26,133,1,1,0.245,0.299,0.326,0.624,0.081,0.387,0.0693,0.3547,0.291,66.0,-0.4
Andrew Knapp,PHI,276,710,618,119,23,3,11,74,231,9,4,0.193,0.287,0.293,0.579,0.1,0.284,0.1042,0.3254,0.291,66.0,-0.7
Andrew Knizner,STL,292,923,831,176,35,0,18,69,206,17,4,0.212,0.284,0.319,0.603,0.107,0.259,0.0748,0.2232,0.291,66.0,-0.9
Taylor Walls,TB,366,1297,1128,220,49,7,19,157,333,3,5,0.195,0.294,0.301,0.595,0.106,0.257,0.121,0.2567,0.29,65.4,-1.4
Blake Swihart,BOS,124,319,297,64,11,0,8,21,99,1,0,0.215,0.27,0.333,0.603,0.118,0.295,0.0658,0.3103,0.29,65.4,-0.3
Brett Baty,NYM,176,608,552,117,15,0,14,49,160,4,1,0.212,0.281,0.315,0.596,0.103,0.272,0.0806,0.2632,0.29,65.4,-0.6
Vimael Machín,ATH,124,391,344,72,14,0,1,40,71,2,3,0.209,0.293,0.259,0.552,0.049,0.258,0.1023,0.1816,0.29,65.4,-0.4
Charlie Tilson,CWS,85,280,253,62,6,1,1,20,58,4,1,0.245,0.309,0.289,0.598,0.043,0.313,0.0714,0.2071,0.29,65.4,-0.3
Noelvi Marte,CIN,98,369,347,85,16,0,7,17,102,4,1,0.245,0.287,0.352,0.639,0.107,0.326,0.0461,0.2764,0.289,64.7,-0.4
Mikie Mahtook,DET,80,289,258,47,4,2,10,25,84,3,3,0.182,0.26,0.329,0.589,0.147,0.222,0.0865,0.2907,0.289,64.7,-0.3
Pat Valaika,BAL,255,686,633,132,25,1,18,44,182,2,3,0.209,0.261,0.336,0.597,0.128,0.261,0.0641,0.2653,0.289,64.7,-0.8
Nick Fortes,MIA,286,937,856,191,32,1,23,49,155,15,7,0.223,0.275,0.343,0.619,0.12,0.245,0.0523,0.1654,0.289,64.7,-1.1
Erik Kratz,MIL,100,323,300,70,12,0,7,11,64,9,2,0.233,0.28,0.343,0.623,0.11,0.273,0.0341,0.1981,0.289,64.7,-0.4
Billy Hamilton,CIN,371,1164,1052,228,40,14,7,94,299,1,8,0.217,0.28,0.301,0.581,0.085,0.293,0.0808,0.2569,0.288,64.0,-1.4
Chad Wallach,MIA,165,484,436,83,16,2,11,37,161,3,3,0.19,0.257,0.312,0.569,0.122,0.27,0.0764,0.3326,0.288,64.0,-0.6
Rosell Herrera,KC,142,431,392,87,21,3,3,31,87,4,2,0.222,0.284,0.314,0.598,0.092,0.276,0.0719,0.2019,0.288,64.0,-0.5
Casey Schmitt,SF,126,405,374,80,19,1,11,18,96,6,4,0.214,0.259,0.358,0.617,0.144,0.255,0.0444,0.237,0.288,64.0,-0.5
Jason Delay,PIT,121,378,344,79,20,1,2,25,95,5,1,0.23,0.291,0.311,0.602,0.081,0.31,0.0661,0.2513,0.287,63.4,-0.5
Cristian Pache,ATH,243,713,645,119,28,4,8,56,214,4,2,0.184,0.253,0.278,0.531,0.093,0.261,0.0785,0.3001,0.287,63.4,-0.9
Rajai Davis,CLE,96,246,223,50,8,1,2,14,54,4,1,0.224,0.281,0.296,0.577,0.072,0.286,0.0569,0.2195,0.287,63.4,-0.3
Jerar Encarnacion,SF,59,204,194,43,9,0,8,8,69,0,2,0.222,0.25,0.392,0.642,0.17,0.294,0.0392,0.3382,0.287,63.4,-0.3
J. R. Murphy,AZ,127,366,337,67,14,0,14,23,129,1,1,0.199,0.251,0.365,0.616,0.166,0.272,0.0628,0.3525,0.286,62.7,-0.5
Grayson Greiner,DET,148,512,457,91,17,1,11,47,161,2,4,0.199,0.275,0.313,0.587,0.114,0.277,0.0918,0.3145,0.286,62.7,-0.7
Martín Maldonado,HOU,703,2445,2176,420,83,2,75,196,720,39,6,0.193,0.271,0.336,0.607,0.143,0.249,0.0802,0.2945,0.286,62.7,-3.4
Carter Kieboom,WSH,139,530,461,89,10,0,12,55,147,11,3,0.193,0.292,0.293,0.585,0.1,0.252,0.1038,0.2774,0.286,62.7,-0.7
Addison Barger,TOR,69,227,211,42,12,0,7,14,61,1,1,0.199,0.251,0.355,0.607,0.156,0.243,0.0617,0.2687,0.285,62.0,-0.3
Travis Demeritte,DET,100,334,303,64,10,2,6,25,117,2,3,0.211,0.273,0.317,0.59,0.106,0.317,0.0749,0.3503,0.285,62.0,-0.5
Donovan Walton,SEA,75,227,207,36,12,1,4,14,50,4,0,0.174,0.24,0.3,0.54,0.126,0.209,0.0617,0.2203,0.284,61.4,-0.4
Jt Riddle,MIA,183,576,542,112,18,4,17,28,128,2,1,0.207,0.248,0.349,0.597,0.142,0.239,0.0486,0.2222,0.284,61.4,-0.9
Yonny Hernández,TEX,77,247,212,39,8,0,0,24,51,5,2,0.184,0.28,0.222,0.502,0.038,0.239,0.0972,0.2065,0.284,61.4,-0.4
Hunter Goodman,COL,97,308,287,55,14,3,14,14,91,3,4,0.192,0.234,0.408,0.641,0.216,0.22,0.0455,0.2955,0.284,61.4,-0.5
Jarrod Dyson,AZ,282,928,826,176,23,7,9,88,169,2,4,0.213,0.289,0.291,0.58,0.077,0.256,0.0948,0.1821,0.284,61.4,-1.5
José Herrera,AZ,137,392,339,69,11,1,1,35,96,0,2,0.204,0.277,0.251,0.527,0.047,0.279,0.0893,0.2449,0.283,60.7,-0.7
Jake Alu,WSH,51,177,161,37,3,1,2,10,42,3,2,0.23,0.284,0.298,0.582,0.068,0.294,0.0565,0.2373,0.283,60.7,-0.3
Gordon Beckham,DET,94,297,273,56,14,2,6,18,82,4,0,0.205,0.264,0.337,0.601,0.132,0.27,0.0606,0.2761,0.283,60.7,-0.5
Michael Pérez,PIT,209,648,586,108,24,1,18,52,178,4,4,0.184,0.254,0.321,0.575,0.137,0.228,0.0802,0.2747,0.283,60.7,-1.1
Ryan Cordell,CWS,100,296,263,54,9,1,8,19,87,4,4,0.205,0.266,0.338,0.604,0.133,0.267,0.0642,0.2939,0.282,60.0,-0.5
Oscar Colás,CWS,95,323,299,66,10,0,5,17,85,3,2,0.221,0.268,0.304,0.572,0.084,0.289,0.0526,0.2632,0.282,60.0,-0.6
Endy Rodríguez,PIT,57,205,186,41,7,2,3,18,49,0,1,0.22,0.288,0.328,0.616,0.108,0.281,0.0878,0.239,0.282,60.0,-0.4
Joey Loperfido,TOR,78,264,245,52,13,4,4,13,97,4,1,0.212,0.262,0.347,0.609,0.135,0.331,0.0492,0.3674,0.281,59.3,-0.5
Zack Short,DET,202,574,483,78,18,0,13,73,166,3,9,0.161,0.271,0.28,0.551,0.118,0.208,0.1272,0.2892,0.281,59.3,-1.1
